Table 1
Returned,Order ID,,,
Yes,CA-2020-157280,,,
Yes,CA-2020-157280,,,
Yes,CA-2020-159023,,,
Yes,CA-2020-159023,,,
Yes,CA-2020-159212,,,
Yes,CA-2020-159212,,,
Yes,CA-2020-159345,,,
Yes,CA-2020-161746,,,
Yes,CA-2020-161746,,,
Yes,CA-2020-161746,,,
Yes,CA-2020-161746,,,
Yes,CA-2020-162138,,,
Yes,CA-2020-162138,,,
Yes,CA-2020-162159,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-165330,,,
Yes,CA-2020-166275,,,
Yes,CA-2020-167759,,,
Yes,CA-2020-168921,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-100111,,,
Yes,CA-2021-101273,,,
Yes,CA-2021-101574,,,
Yes,CA-2021-101700,,,
Yes,CA-2021-101700,,,
Yes,CA-2021-101805,,,
Yes,CA-2021-101805,,,
Yes,CA-2021-101805,,,
Yes,CA-2021-102519,,,
Yes,CA-2021-102519,,,
Yes,CA-2021-103380,,,
Yes,CA-2021-103380,,,
Yes,CA-2021-103380,,,
Yes,CA-2021-103380,,,
Yes,CA-2021-103380,,,
Yes,CA-2021-107825,,,
Yes,CA-2021-107825,,,
Yes,CA-2021-107825,,,
Yes,CA-2021-107825,,,
Yes,CA-2021-108294,,,
Yes,CA-2021-108931,,,
Yes,CA-2021-108931,,,
Yes,CA-2021-109085,,,
Yes,CA-2021-109085,,,
Yes,CA-2021-109085,,,
Yes,CA-2021-109085,,,
Yes,CA-2021-109085,,,
Yes,CA-2021-111556,,,
Yes,CA-2021-111556,,,
Yes,CA-2021-111556,,,
Yes,CA-2021-111556,,,
Yes,CA-2021-112725,,,
Yes,CA-2021-112725,,,
Yes,CA-2021-112725,,,
Yes,CA-2021-112753,,,
Yes,CA-2021-112753,,,
Yes,CA-2021-112865,,,
Yes,CA-2021-113670,,,
Yes,CA-2021-113670,,,
Yes,CA-2021-115427,,,
Yes,CA-2021-115427,,,
Yes,CA-2021-115994,,,
Yes,CA-2021-115994,,,
Yes,CA-2021-117212,,,
Yes,CA-2021-117212,,,
Yes,CA-2021-117212,,,
Yes,CA-2021-117212,,,
Yes,CA-2021-117212,,,
Yes,CA-2021-117513,,,
Yes,CA-2021-117926,,,
Yes,CA-2021-118122,,,
Yes,CA-2021-118542,,,
Yes,CA-2021-118542,,,
Yes,CA-2021-119284,,,
Yes,CA-2021-119284,,,
Yes,CA-2021-119284,,,
Yes,CA-2021-119284,,,
Yes,CA-2021-119284,,,
Yes,CA-2021-119284,,,
Yes,CA-2021-119284,,,
Yes,CA-2021-121258,,,
Yes,CA-2021-121258,,,
Yes,CA-2021-121258,,,
Yes,CA-2021-121853,,,
Yes,CA-2021-121853,,,
Yes,CA-2021-121853,,,
Yes,CA-2021-122007,,,
Yes,CA-2021-122504,,,
Yes,CA-2021-122504,,,
Yes,CA-2021-123085,,,
Yes,CA-2021-123085,,,
Yes,CA-2021-123491,,,
Yes,CA-2021-123491,,,
Yes,CA-2021-123491,,,
Yes,CA-2021-123491,,,
Yes,CA-2021-123491,,,
Yes,CA-2021-123491,,,
Yes,CA-2021-124401,,,
Yes,CA-2021-124401,,,
Yes,CA-2021-127306,,,
Yes,CA-2021-127306,,,
Yes,CA-2021-127306,,,
Yes,CA-2021-127306,,,
Yes,CA-2021-127306,,,
Yes,CA-2021-128965,,,
Yes,CA-2021-128965,,,
Yes,CA-2021-128965,,,
Yes,CA-2021-128965,,,
Yes,CA-2021-128965,,,
Yes,CA-2021-128965,,,
Yes,CA-2021-129707,,,
Yes,CA-2021-130631,,,
Yes,CA-2021-130631,,,
Yes,CA-2021-131492,,,
Yes,CA-2021-131492,,,
Yes,CA-2021-131492,,,
Yes,CA-2021-131492,,,
Yes,CA-2021-131618,,,
Yes,CA-2021-131618,,,
Yes,CA-2021-131618,,,
Yes,CA-2021-131807,,,
Yes,CA-2021-131807,,,
Yes,CA-2021-131807,,,
Yes,CA-2021-131807,,,
Yes,CA-2021-131807,,,
Yes,CA-2021-131807,,,
Yes,CA-2021-131828,,,
Yes,CA-2021-131828,,,
Yes,CA-2021-132346,,,
Yes,CA-2021-134194,,,
Yes,CA-2021-134194,,,
Yes,CA-2021-134194,,,
Yes,CA-2021-134194,,,
Yes,CA-2021-134194,,,
Yes,CA-2021-135692,,,
Yes,CA-2021-135692,,,
Yes,CA-2021-136308,,,
Yes,CA-2021-136539,,,
Yes,CA-2021-136539,,,
Yes,CA-2021-136651,,,
Yes,CA-2021-136651,,,
Yes,CA-2021-136651,,,
Yes,CA-2021-137085,,,
Yes,CA-2021-137099,,,
Yes,CA-2021-137414,,,
Yes,CA-2021-137414,,,
Yes,CA-2021-137428,,,
Yes,CA-2021-137428,,,
Yes,CA-2021-137428,,,
Yes,CA-2021-137428,,,
Yes,CA-2021-138163,,,
Yes,CA-2021-140053,,,
Yes,CA-2021-140151,,,
Yes,CA-2021-140151,,,
Yes,CA-2021-140151,,,
Yes,CA-2021-140186,,,
Yes,CA-2021-140186,,,
Yes,CA-2021-140186,,,
Yes,CA-2021-140186,,,
Yes,CA-2021-140186,,,
Yes,CA-2021-140585,,,
Yes,CA-2021-140585,,,
Yes,CA-2021-140585,,,
Yes,CA-2021-140963,,,
Yes,CA-2021-140963,,,
Yes,CA-2021-140963,,,
Yes,CA-2021-141929,,,
Yes,CA-2021-141929,,,
Yes,CA-2021-141929,,,
Yes,CA-2021-142328,,,
Yes,CA-2021-142342,,,
Yes,CA-2021-142342,,,
Yes,CA-2021-142342,,,
Yes,CA-2021-142342,,,
Yes,CA-2021-142867,,,
Yes,CA-2021-142867,,,
Yes,CA-2021-142888,,,
Yes,CA-2021-143084,,,
Yes,CA-2021-143084,,,
Yes,CA-2021-144064,,,
Yes,CA-2021-144064,,,
Yes,CA-2021-144064,,,
Yes,CA-2021-145128,,,
Yes,CA-2021-145772,,,
Yes,CA-2021-145772,,,
Yes,CA-2021-145772,,,
Yes,CA-2021-147452,,,
Yes,CA-2021-147452,,,
Yes,CA-2021-147452,,,
Yes,CA-2021-150609,,,
Yes,CA-2021-150910,,,
Yes,CA-2021-150910,,,
Yes,CA-2021-150910,,,
Yes,CA-2021-150910,,,
Yes,CA-2021-150910,,,
Yes,CA-2021-152660,,,
Yes,CA-2021-153822,,,
Yes,CA-2021-153822,,,
Yes,CA-2021-153822,,,
Yes,CA-2021-153822,,,
Yes,CA-2021-154074,,,
Yes,CA-2021-154074,,,
Yes,CA-2021-154214,,,
Yes,CA-2021-154949,,,
Yes,CA-2021-155712,,,
Yes,CA-2021-156391,,,
Yes,CA-2021-156958,,,
Yes,CA-2021-156958,,,
Yes,CA-2021-156958,,,
Yes,CA-2021-156958,,,
Yes,CA-2021-156958,,,
Yes,CA-2021-157196,,,
Yes,CA-2021-158729,,,
Yes,CA-2021-159954,,,
Yes,CA-2021-161459,,,
Yes,CA-2021-161459,,,
Yes,CA-2021-161557,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-161956,,,
Yes,CA-2021-162015,,,
Yes,CA-2021-162015,,,
Yes,CA-2021-165008,,,
Yes,CA-2021-165491,,,
Yes,CA-2021-166093,,,
Yes,CA-2021-166093,,,
Yes,CA-2021-166093,,,
Yes,CA-2021-166093,,,
Yes,CA-2021-166093,,,
Yes,CA-2021-166093,,,
Yes,CA-2021-166093,,,
Yes,CA-2021-166142,,,
Yes,CA-2021-166142,,,
Yes,CA-2021-166898,,,
Yes,CA-2021-166898,,,
Yes,CA-2021-167003,,,
Yes,CA-2021-167395,,,
Yes,CA-2021-167395,,,
Yes,CA-2021-167395,,,
Yes,CA-2021-168193,,,
Yes,CA-2021-168193,,,
Yes,CA-2021-169327,,,
Yes,CA-2021-169327,,,
Yes,CA-2021-169327,,,
Yes,CA-2021-169859,,,
Yes,CA-2021-169859,,,
Yes,CA-2021-169859,,,
Yes,CA-2021-169894,,,
Yes,CA-2021-169894,,,
Yes,US-2018-105137,,,
Yes,US-2018-105137,,,
Yes,US-2018-138758,,,
Yes,US-2018-138758,,,
Yes,US-2018-140452,,,
Yes,US-2018-140452,,,
Yes,US-2018-140452,,,
Yes,US-2018-140452,,,
Yes,US-2018-140452,,,
Yes,US-2018-140452,,,
Yes,US-2018-143287,,,
Yes,US-2018-143287,,,
Yes,US-2018-143287,,,
Yes,US-2018-150574,,,
Yes,US-2018-150574,,,
Yes,US-2018-164406,,,
Yes,US-2018-164406,,,
Yes,US-2018-164406,,,
Yes,US-2018-164406,,,
Yes,US-2018-164406,,,
Yes,US-2018-164763,,,
Yes,US-2018-164763,,,
Yes,US-2018-164763,,,
Yes,US-2018-164763,,,
Yes,US-2018-164763,,,
Yes,US-2019-110569,,,
Yes,US-2019-110569,,,
Yes,US-2019-126214,,,
Yes,US-2019-126214,,,
Yes,US-2019-128090,,,
Yes,US-2019-128090,,,
Yes,US-2019-128090,,,
Yes,US-2019-128090,,,
Yes,US-2019-136749,,,
Yes,US-2019-136749,,,
Yes,US-2019-136987,,,
Yes,US-2019-136987,,,
Yes,US-2019-137008,,,
Yes,US-2019-137008,,,
Yes,US-2019-137008,,,
Yes,US-2019-160857,,,
Yes,US-2019-160857,,,
Yes,US-2019-160857,,,
Yes,US-2019-160857,,,
Yes,US-2019-160857,,,
Yes,US-2020-105578,,,
Yes,US-2020-105578,,,
Yes,US-2020-105578,,,
Yes,US-2020-105578,,,
Yes,US-2020-105578,,,
Yes,US-2020-108455,,,
Yes,US-2020-108455,,,
Yes,US-2020-108455,,,
Yes,US-2020-111528,,,
Yes,US-2020-111528,,,
Yes,US-2020-114230,,,
Yes,US-2020-114293,,,
Yes,US-2020-115952,,,
Yes,US-2020-119046,,,
Yes,US-2020-119046,,,
Yes,US-2020-119046,,,
Yes,US-2020-127425,,,
Yes,US-2020-127425,,,
Yes,US-2020-131149,,,
Yes,US-2020-131149,,,
Yes,US-2020-135720,,,
Yes,US-2020-135720,,,
Yes,US-2020-135720,,,
Yes,US-2020-140172,,,
Yes,US-2020-140172,,,
Yes,US-2020-144057,,,
Yes,US-2020-144057,,,
Yes,US-2020-144057,,,
Yes,US-2020-144057,,,
Yes,US-2020-144057,,,
Yes,US-2020-148957,,,
Yes,US-2020-151827,,,
Yes,US-2020-151827,,,
Yes,US-2020-152051,,,
Yes,US-2020-152051,,,
Yes,US-2020-152051,,,
Yes,US-2020-156986,,,
Yes,US-2020-156986,,,
Yes,US-2020-156986,,,
Yes,US-2020-156986,,,
Yes,US-2020-157490,,,
Yes,US-2020-157490,,,
Yes,US-2020-157490,,,
Yes,US-2020-157490,,,
Yes,US-2021-103247,,,
Yes,US-2021-103247,,,
Yes,US-2021-103828,,,
Yes,US-2021-103828,,,
Yes,US-2021-103828,,,
Yes,US-2021-103828,,,
Yes,US-2021-105046,,,
Yes,US-2021-105046,,,
Yes,US-2021-105046,,,
Yes,US-2021-107888,,,
Yes,US-2021-107888,,,
Yes,US-2021-107888,,,
Yes,US-2021-107888,,,
Yes,US-2021-109253,,,
Yes,US-2021-109253,,,
Yes,US-2021-109253,,,
Yes,US-2021-109253,,,
Yes,US-2021-109253,,,
Yes,US-2021-109253,,,
Yes,US-2021-109253,,,
Yes,US-2021-118087,,,
Yes,US-2021-118087,,,
Yes,US-2021-118087,,,
Yes,US-2021-118087,,,
Yes,US-2021-118087,,,
Yes,US-2021-118087,,,
Yes,US-2021-118087,,,
Yes,US-2021-118087,,,
Yes,US-2021-123834,,,
Yes,US-2021-136679,,,
Yes,US-2021-136679,,,
Yes,US-2021-147886,,,
Yes,US-2021-147886,,,
Yes,US-2021-147886,,,
Yes,US-2021-147886,,,
Yes,US-2021-147886,,,
Yes,US-2021-147886,,,
Yes,US-2021-147886,,,
Yes,US-2021-147998,,,
Yes,US-2021-151127,,,
Yes,US-2021-155999,,,
Yes,US-2021-155999,,,
