gender,age,place,group,netTime,minutes,mph
M,42,160,M40-44 ,3:27:18,217.6833333,7.226667177
M,40,161,M40-44 ,3:27:42,207.9666667,7.564313191
M,27,162,M25-29 ,3:27:51,212.7666667,7.393662854
M,41,163,M40-44 ,3:27:54,208,7.563100962
M,21,164,M18-24 ,3:27:58,218.1666667,7.21065699
F,36,165,F35-39 ,3:28:02,208.45,7.546773807
M,30,166,M30-34 ,3:28:04,208.1166667,7.558861216
M,47,167,M45-49 ,3:28:15,208.45,7.546773807
M,39,168,M35-39 ,3:28:20,212.6,7.399459078
M,25,169,M25-29 ,3:28:27,208.45,7.546773807
M,39,170,M35-39 ,3:28:35,219.65,7.161962213
F,51,171,F50-54 ,3:28:45,209.2,7.519717973
M,35,172,M35-39 ,3:28:46,209.4833333,7.509547299
M,59,173,M55-59 ,3:28:54,209.1833333,7.520317106
M,25,174,M25-29 ,3:28:55,209.05,7.525113609
F,21,175,F18-24 ,3:28:56,209.5333333,7.507755329
M,23,176,M18-24 ,3:28:57,231.2666667,6.802212453
M,34,177,M30-34 ,3:28:57,209.1166667,7.522714593
F,39,178,F35-39 ,3:28:59,209.3333333,7.514928344
M,27,179,M25-29 ,3:29:07,209.8666667,7.495830686
M,52,180,M50-54 ,3:29:18,209.8,7.498212583
M,23,181,M18-24 ,3:29:36,209.7,7.501788269
F,34,182,F30-34 ,3:29:37,209.8333333,7.497021446
F,23,183,F18-24 ,3:29:41,209.7833333,7.498808294
M,52,184,M50-54 ,3:29:43,210.4166667,7.476237624
M,43,185,M40-44 ,3:29:47,209.9833333,7.491666005
M,34,186,M30-34 ,3:29:48,209.9333333,7.493450302
M,47,187,M45-49 ,3:29:51,210.15,7.485724483
M,37,188,M35-39 ,3:29:52,237.4166667,6.626009126
M,40,189,M40-44 ,3:30:11,210.3333333,7.479199683
F,42,190,F40-44 ,3:30:16,210.6,7.469729345
M,36,191,M35-39 ,3:30:22,210.5166667,7.472686248
M,32,192,M30-34 ,3:30:23,210.6666667,7.467365506
M,36,193,M35-39 ,3:30:37,214.8166667,7.323104973
M,38,194,M35-39 ,3:30:37,210.7333333,7.465003164
M,28,195,M25-29 ,3:30:50,213.1666667,7.379788898
M,40,196,M40-44 ,3:30:55,210.9166667,7.458514421
M,40,197,M40-44 ,3:30:56,211.2666667,7.446158094
F,50,198,F50-54 ,3:30:58,211.7166667,7.430331418
M,49,199,M45-49 ,3:31:03,211.6166667,7.43384264
M,29,200,M25-29 ,3:31:11,211.6,7.434428166
M,39,201,M35-39 ,3:31:12,211.45,7.439702057
M,30,202,M30-34 ,3:31:24,222.85,7.059120485
M,57,203,M55-59 ,3:31:38,211.6333333,7.433257206
F,34,204,F30-34 ,3:31:41,242.3333333,6.491574966
M,27,205,M25-29 ,3:31:54,248.7166667,6.32496817
M,34,206,M30-34 ,3:32:14,212.6166667,7.398879047
M,30,207,M30-34 ,3:32:14,215.2666667,7.307796531
M,25,208,M25-29 ,3:32:15,212.5166667,7.402360599
M,31,209,M30-34 ,3:32:15,212.5166667,7.402360599
M,40,210,M40-44 ,3:32:32,217.3166667,7.238860342
F,46,211,F45-49 ,3:32:33,213.0166667,7.384985525
M,35,212,M35-39 ,3:32:48,215.4166667,7.30270793
M,41,213,M40-44 ,3:32:58,215.3666667,7.304403343
M,33,214,M30-34 ,3:33:16,216.1166667,7.279054523
M,48,215,M45-49 ,3:33:19,213.45,7.369992973
M,38,216,M35-39 ,3:33:21,213.6666667,7.362519501
M,51,217,M50-54 ,3:33:24,213.4666667,7.369417552
M,43,218,M40-44 ,3:33:47,213.9666667,7.352196604
M,32,219,M30-34 ,3:33:48,213.8333333,7.356780982
M,22,220,M18-24 ,3:33:52,214.05,7.349334268
M,29,221,M25-29 ,3:34:01,214.1666667,7.345330739
M,40,222,M40-44 ,3:34:01,214.6333333,7.329360149
M,41,223,M40-44 ,3:34:03,214.0666667,7.348762068
M,41,224,M40-44 ,3:34:13,214.4333333,7.336196176
M,36,225,M35-39 ,3:34:16,214.3666667,7.338477686
M,46,226,M45-49 ,3:34:25,216.7,7.259460083
M,38,227,M35-39 ,3:34:28,214.8833333,7.32083301
F,31,228,F30-34 ,3:34:32,214.65,7.328791055
M,36,229,M35-39 ,3:34:35,214.9166667,7.319697557
M,37,230,M35-39 ,3:34:47,248.0666667,6.341541252
F,27,231,F25-29 ,3:34:50,214.9333333,7.319129963
M,48,232,M45-49 ,3:34:53,215.0166667,7.316293311
M,29,233,M25-29 ,3:34:55,215.0666667,7.314592374
M,52,234,M50-54 ,3:34:55,215.3166667,7.306099543
M,43,235,M40-44 ,3:34:59,215.0833333,7.314025571
M,34,236,M30-34 ,3:35:00,215.05,7.315159265
F,33,237,F30-34 ,3:35:20,215.5,7.299883991
F,40,238,F40-44 ,3:35:37,216.3,7.272884882
M,30,239,M30-34 ,3:35:41,216.1333333,7.278493214
M,47,240,M45-49 ,3:35:53,222.2666667,7.077646971
M,55,241,M55-59 ,3:35:53,248.2833333,6.33600725
M,36,242,M35-39 ,3:35:57,216.5166667,7.265606959
F,34,243,F30-34 ,3:36:03,216.1166667,7.279054523
M,53,244,M50-54 ,3:36:09,216.6666667,7.260576923
F,45,245,F45-49 ,3:36:09,216.6,7.262811634
M,47,246,M45-49 ,3:36:22,242.5833333,6.484884919
F,44,247,F40-44 ,3:36:39,221.4833333,7.102678907
M,39,248,M35-39 ,3:36:40,217,7.249423963
M,29,249,M25-29 ,3:36:41,217.3333333,7.238305215
F,24,250,F18-24 ,3:36:46,216.9666667,7.250537717
F,43,251,F40-44 ,3:36:50,217.4333333,7.234976238
M,38,252,M35-39 ,3:37:03,226.05,6.959190445
F,42,253,F40-44 ,3:37:06,219.3666667,7.171212582
M,28,254,M25-29 ,3:37:12,217.4,7.236085557
M,18,255,M18-24 ,3:37:16,242.25,6.49380805
M,38,256,M35-39 ,3:37:24,220.1833333,7.144614337
M,40,257,M40-44 ,3:37:29,217.5666667,7.230542362
F,23,258,F18-24 ,3:37:29,218.05,7.214515019
M,30,259,M30-34 ,3:37:43,217.95,7.217825189
M,43,260,M40-44 ,3:37:57,217.9833333,7.216721462
M,51,261,M50-54 ,3:37:58,218.15,7.211207884
M,37,262,M35-39 ,3:38:03,218.4333333,7.201854113
M,47,263,M45-49 ,3:38:05,218.5,7.199656751
F,31,264,F30-34 ,3:38:17,246.0833333,6.392651541
F,40,265,F40-44 ,3:38:29,221.0333333,7.117139195
F,34,266,F30-34 ,3:38:39,218.6666667,7.194169207
M,42,267,M40-44 ,3:38:43,218.8333333,7.188690023
M,27,268,M25-29 ,3:38:45,219.0666667,7.181033171
M,33,269,M30-34 ,3:38:46,249.5333333,6.304267967
M,38,270,M35-39 ,3:39:01,219.1833333,7.177210858
M,35,271,M35-39 ,3:39:11,219.2333333,7.17557397
M,45,272,M45-49 ,3:39:24,220.0666667,7.148401999
M,22,273,M18-24 ,3:39:26,219.6833333,7.160875503
M,33,274,M30-34 ,3:39:31,247.8666667,6.34665815
M,48,275,M45-49 ,3:39:33,219.6666667,7.161418816
F,25,276,F25-29 ,3:39:47,220.3,7.140830685
F,24,277,F18-24 ,3:39:50,224.25,7.015050167
F,30,278,F30-34 ,3:39:53,220.2333333,7.142992281
M,48,279,M45-49 ,3:40:00,222.5,7.070224719
M,37,280,M35-39 ,3:40:10,222.8,7.060704668
M,32,281,M30-34 ,3:40:13,223.1333333,7.050156857
M,38,282,M35-39 ,3:40:17,220.4833333,7.134893038
M,32,283,M30-34 ,3:40:17,220.9833333,7.118749529
F,44,284,F40-44 ,3:40:36,220.7,7.127888536
F,40,285,F40-44 ,3:40:38,220.8333333,7.123584906
M,38,286,M35-39 ,3:40:38,220.6833333,7.128426856
M,38,287,M35-39 ,3:40:40,220.7833333,7.125198158
M,43,288,M40-44 ,3:40:42,223.6,7.035442755
F,41,289,F40-44 ,3:40:45,223.1,7.05121022
F,37,290,F35-39 ,3:40:45,221,7.11821267
M,42,291,M40-44 ,3:40:46,221,7.11821267
M,35,292,M35-39 ,3:40:47,221.1833333,7.112312561
M,36,293,M35-39 ,3:40:48,223.5166667,7.038065767
M,31,294,M30-34 ,3:40:49,223.7666667,7.030202592
M,39,295,M35-39 ,3:40:53,221.05,7.116602579
M,48,296,M45-49 ,3:41:04,248.7833333,6.323273263
F,29,297,F25-29 ,3:41:06,221.2333333,7.110705138
F,39,298,F35-39 ,3:41:08,227.85,6.904213298
M,42,299,M40-44 ,3:41:12,223.4333333,7.040690735
F,31,300,F30-34 ,3:41:15,221.7166667,7.095204089
M,35,301,M35-39 ,3:41:16,223.8166667,7.028632065
M,25,302,M25-29 ,3:41:17,239.0666667,6.580277468
M,45,303,M45-49 ,3:41:29,221.6333333,7.09787186
M,45,304,M45-49 ,3:41:29,221.7166667,7.095204089
M,31,305,M30-34 ,3:41:33,221.9166667,7.088809613
M,34,306,M30-34 ,3:41:37,222.0833333,7.083489681
M,36,307,M35-39 ,3:41:37,241.2,6.522077114
M,27,308,M25-29 ,3:41:40,225.8666667,6.964839138
M,42,309,M40-44 ,3:41:42,224,7.022879464
M,35,310,M35-39 ,3:41:43,221.8666667,7.090407151
M,39,311,M35-39 ,3:42:08,224.3666667,7.011402466
M,44,312,M40-44 ,3:42:09,226.7833333,6.936686999
M,46,313,M45-49 ,3:42:11,235.8833333,6.66908076
M,30,314,M30-34 ,3:42:15,222.55,7.068636262
M,50,315,M50-54 ,3:42:23,222.5,7.070224719
F,24,316,F18-24 ,3:42:30,222.7833333,7.061232887
F,44,317,F40-44 ,3:42:33,225.3666667,6.980291377
M,28,318,M25-29 ,3:42:43,222.75,7.062289562
M,38,319,M35-39 ,3:42:55,225.1166667,6.988043237
M,48,320,M45-49 ,3:42:56,248.7333333,6.324544358
M,34,321,M30-34 ,3:43:00,223.1833333,7.048577403
M,37,322,M35-39 ,3:43:03,247.35,6.3599151
M,28,323,M25-29 ,3:43:11,258.8166667,6.078144117
M,36,324,M35-39 ,3:43:15,256.3166667,6.137427661
M,27,325,M25-29 ,3:43:23,223.9,7.026016079
M,38,326,M35-39 ,3:43:28,226.2,6.954575597
M,45,327,M45-49 ,3:43:29,225.85,6.96535311
M,39,328,M35-39 ,3:43:33,226.2666667,6.952526517
F,30,329,F30-34 ,3:43:33,223.8666667,7.027062239
M,37,330,M35-39 ,3:43:54,224.4666667,7.008278883
M,28,331,M25-29 ,3:43:55,249.5,6.30511022
F,29,332,F25-29 ,3:43:58,254.65,6.177596701
F,30,333,F30-34 ,3:43:58,226.25,6.953038674
F,25,334,F25-29 ,3:43:59,224.6666667,7.002040059
F,26,335,F25-29 ,3:44:07,224.5,7.007238307
M,50,336,M50-54 ,3:44:11,224.5333333,7.00619804
M,36,337,M35-39 ,3:44:11,226.75,6.937706725
F,19,338,F18-24 ,3:44:13,224.5666667,7.005158082
M,31,339,M30-34 ,3:44:14,224.6333333,7.003079092
F,39,340,F35-39 ,3:44:17,224.4833333,7.007758557
M,39,341,M35-39 ,3:44:18,256.75,6.127069133
F,32,342,F30-34 ,3:44:20,224.5666667,7.005158082
M,51,343,M50-54 ,3:44:30,227.0833333,6.927522936
M,40,344,M40-44 ,3:44:38,244.8833333,6.423977404
M,53,345,M50-54 ,3:44:43,225.15,6.987008661
M,34,346,M30-34 ,3:44:46,225.4666667,6.977195446
F,41,347,F40-44 ,3:44:46,227.1,6.927014531
M,46,348,M45-49 ,3:44:48,225.1,6.98856064
M,52,349,M50-54 ,3:44:49,225.05,6.990113308
F,35,350,F35-39 ,3:44:54,225.1666667,6.986491488
F,48,351,F45-49 ,3:45:06,225.35,6.980807633
M,36,352,M35-39 ,3:45:11,225.4333333,6.978227118
M,29,353,M25-29 ,3:45:15,225.45,6.977711244
M,31,354,M30-34 ,3:45:17,225.7833333,6.967409759
M,37,355,M35-39 ,3:45:23,258.3666667,6.088730486
M,25,356,M25-29 ,3:45:24,227.75,6.907244786
F,29,357,F25-29 ,3:45:35,227.2166667,6.923457786
M,39,358,M35-39 ,3:45:38,226.1666667,6.95560059
F,39,359,F35-39 ,3:45:41,225.9166667,6.963297676
M,41,360,M40-44 ,3:45:43,227.9666667,6.900679924
M,43,361,M40-44 ,3:45:43,226.0833333,6.958164394
M,35,362,M35-39 ,3:45:46,226.45,6.94689777
F,26,363,F25-29 ,3:45:48,230.7166667,6.818428086
M,24,364,M18-24 ,3:45:52,226.1,6.957651482
M,34,365,M30-34 ,3:45:58,226.4833333,6.94587534
F,30,366,F30-34 ,3:46:07,226.5666667,6.943320583
M,42,367,M40-44 ,3:46:07,228.4,6.887587566
F,33,368,F30-34 ,3:46:10,229.2166667,6.863048062
M,54,369,M50-54 ,3:46:11,226.7,6.939236877
M,40,370,M40-44 ,3:46:12,226.95,6.931592862
M,23,371,M18-24 ,3:46:12,226.7,6.939236877
M,42,372,M40-44 ,3:46:13,226.5833333,6.942809857
M,36,373,M35-39 ,3:46:13,232.95,6.753058596
M,44,374,M40-44 ,3:46:21,226.55,6.943831384
F,34,375,F30-34 ,3:46:24,228.6666667,6.879555394
M,31,376,M30-34 ,3:46:25,250.9,6.269928258
M,39,377,M35-39 ,3:46:30,226.6833333,6.939747077
M,42,378,M40-44 ,3:46:35,226.7666667,6.937196825
M,39,379,M35-39 ,3:46:37,226.9666667,6.93108386
M,43,380,M40-44 ,3:46:38,226.7833333,6.936686999
F,29,381,F25-29 ,3:46:38,257.55,6.108037274
M,47,382,M45-49 ,3:46:38,228.8833333,6.873043035
F,38,383,F35-39 ,3:46:41,227.4166667,6.917369
M,64,384,M60-64 ,3:46:42,227.1,6.927014531
M,18,385,M18-24 ,3:46:46,229.0833333,6.867042561
M,41,386,M40-44 ,3:46:46,227.0166667,6.929557301
M,36,387,M35-39 ,3:46:47,227.0333333,6.929048598
M,47,388,M45-49 ,3:46:50,227.0666667,6.928031415
M,49,389,M45-49 ,3:46:54,226.95,6.931592862
F,32,390,F30-34 ,3:46:57,227.1666667,6.924981658
M,60,391,M60-64 ,3:46:58,227.2166667,6.923457786
M,40,392,M40-44 ,3:46:58,227.2666667,6.921934585
M,49,393,M45-49 ,3:46:59,227.3,6.92091949
F,34,394,F30-34 ,3:46:59,229.2,6.86354712
M,40,395,M40-44 ,3:46:59,227.1,6.927014531
M,42,396,M40-44 ,3:47:02,230.05,6.838187351
M,52,397,M50-54 ,3:47:02,229.8333333,6.844633793
M,42,398,M40-44 ,3:47:03,227.7,6.908761528
M,41,399,M40-44 ,3:47:03,227.2333333,6.922949978
F,26,400,F25-29 ,3:47:05,229.4833333,6.85507299
M,30,401,M30-34 ,3:47:09,230.1666667,6.834721217
M,28,402,M25-29 ,3:47:13,233.9666667,6.723714204
M,47,403,M45-49 ,3:47:13,227.5166667,6.914328621
F,34,404,F30-34 ,3:47:13,227.8666667,6.903708309
F,30,405,F30-34 ,3:47:15,227.8,6.905728709
M,32,406,M30-34 ,3:47:19,231.5166667,6.79486718
F,33,407,F30-34 ,3:47:21,230.2833333,6.831258594
M,33,408,M30-34 ,3:47:29,261.9833333,6.00467587
M,36,409,M35-39 ,3:47:30,230.5666667,6.822863958
M,37,410,M35-39 ,3:47:34,230.4166667,6.827305606
F,31,411,F30-34 ,3:47:40,253.7833333,6.198693111
M,39,412,M35-39 ,3:47:42,230.1,6.836701434
M,37,413,M35-39 ,3:47:44,227.85,6.904213298
M,40,414,M40-44 ,3:47:46,228.05,6.898158299
M,40,415,M40-44 ,3:47:48,228.5,6.884573304
M,31,416,M30-34 ,3:47:51,228.0833333,6.897150164
M,28,417,M25-29 ,3:47:54,247.6833333,6.351355898
M,39,418,M35-39 ,3:47:56,256.85,6.124683668
M,37,419,M35-39 ,3:48:04,228.1666667,6.894631118
F,35,420,F35-39 ,3:48:09,228.4166667,6.887085005
M,43,421,M40-44 ,3:48:14,231.1666667,6.805155011
M,36,422,M35-39 ,3:48:18,228.9,6.872542595
M,31,423,M30-34 ,3:48:18,228.4,6.887587566
F,22,424,F18-24 ,3:48:23,228.7833333,6.876047206
F,24,425,F18-24 ,3:48:25,228.8166667,6.875045524
F,43,426,F40-44 ,3:48:25,230.75,6.81744312
M,55,427,M55-59 ,3:48:29,228.75,6.87704918
M,45,428,M45-49 ,3:48:39,229.1833333,6.864046251
F,30,429,F30-34 ,3:48:44,239,6.582112971
F,40,430,F40-44 ,3:48:44,228.8833333,6.873043035
M,42,431,M40-44 ,3:48:45,229.35,6.859058208
M,35,432,M35-39 ,3:48:47,231.2333333,6.803193023
F,44,433,F40-44 ,3:48:52,229.0833333,6.867042561
M,22,434,M18-24 ,3:48:52,256.65,6.129456458
M,62,435,M60-64 ,3:48:54,256.65,6.129456458
M,27,436,M25-29 ,3:48:56,248.3,6.335581957
M,56,437,M55-59 ,3:49:01,229.3833333,6.858061469
M,29,438,M25-29 ,3:49:01,229.2833333,6.861052555
M,39,439,M35-39 ,3:49:02,247.0166667,6.368497402
M,49,440,M45-49 ,3:49:05,233.4833333,6.73763295
F,41,441,F40-44 ,3:49:23,256.9166667,6.123094389
M,52,442,M50-54 ,3:49:23,229.8333333,6.844633793
M,51,443,M50-54 ,3:49:24,261.8166667,6.008498313
M,51,444,M50-54 ,3:49:26,229.6833333,6.849103839
M,35,445,M35-39 ,3:49:29,229.8,6.845626632
F,33,446,F30-34 ,3:49:29,229.8,6.845626632
M,29,447,M25-29 ,3:49:31,229.5833333,6.852087114
M,37,448,M35-39 ,3:49:44,230.25,6.832247557
F,34,449,F30-34 ,3:49:44,259.0333333,6.073060095
F,34,450,F30-34 ,3:49:45,232.15,6.776329959
M,43,451,M40-44 ,3:49:48,230.0666667,6.837691973
M,43,452,M40-44 ,3:49:50,230.1,6.836701434
M,36,453,M35-39 ,3:49:50,232.2333333,6.773898378
M,51,454,M50-54 ,3:49:52,229.9833333,6.840169578
M,29,455,M25-29 ,3:49:56,229.95,6.841161122
M,30,456,M30-34 ,3:49:57,230.35,6.829281528
M,36,457,M35-39 ,3:49:58,230.15,6.835216163
M,32,458,M30-34 ,3:50:04,232.7,6.760313709
M,18,459,M18-24 ,3:50:06,234.5166667,6.70794542
M,50,460,M50-54 ,3:50:06,234.5166667,6.70794542
